Name;Salary
Tyus Jones;1282080.0
Shabazz Muhammad;2056920.0
Adreian Payne;1938840.0
Nikola Pekovic;12100000.0
Tayshaun Prince;947276.0
Ricky Rubio;12700000.0
Damjan Rudez;1149500.0
Karl-Anthony Towns;5703600.0
Andrew Wiggins;5758680.0
Steven Adams;2279040.0
Kevin Durant;20158622.0
Randy Foye;3135000.0
Josh Huestis;1140240.0
Serge Ibaka;12250000.0
Enes Kanter;16407500.0
Mitch McGary;1463040.0
Nazr Mohammed;222888.0
Anthony Morrow;3344000.0
Cameron Payne;2021520.0
Andre Roberson;1210800.0
Kyle Singler;4500000.0
Dion Waiters;5138430.0
Russell Westbrook;16744218.0
Cliff Alexander;525093.0
Al-Farouq Aminu;8042895.0
Pat Connaughton;625093.0
Ed Davis;6980802.0
Maurice Harkless;2894059.0
Gerald Henderson;6000000.0
Chris Kaman;5016000.0
Meyers Leonard;3075880.0
Damian Lillard;4236287.0
C.J. McCollum;2525160.0
Luis Montero;525093.0
Mason Plumlee;1415520.0
Brian Roberts;2854940.0
Noah Vonleh;2637720.0
Trevor Booker;4775000.0
Trey Burke;2658240.0
Alec Burks;9463484.0
Dante Exum;3777720.0
Derrick Favors;12000000.0
Rudy Gobert;1175880.0
Gordon Hayward;15409570.0
Rodney Hood;1348440.0
Joe Ingles;2050000.0
Chris Johnson;981348.0
Trey Lyles;2239800.0
Shelvin Mack;2433333.0
Raul Neto;900000.0
Tibor Pleiss;2900000.0
Jeff Withey;947276.0
